,x,y,w,h,track_id,class,conf,time,frame,ledge,filename
0,709.073486328125,41.87544250488281,778.629150390625,189.470703125,-1.0,0.0,0.7180025577545166,1656860400.5999994,15,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
1,648.3261108398438,170.50831604003906,717.5963134765625,336.8833312988281,-1.0,0.0,0.7439000010490417,1656860400.6399994,16,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
2,609.3063354492188,262.30267333984375,669.525634765625,428.1841735839844,-1.0,0.0,0.6687573194503784,1656860400.6799994,17,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
3,551.7023315429688,365.91766357421875,616.21142578125,528.8092041015625,-1.0,0.0,0.8358659744262695,1656860400.7199993,18,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
4,530.7599487304688,395.35595703125,611.15185546875,565.0064697265625,1.0,0.0,0.8346667885780334,1656860400.7599993,19,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
5,457.7568664550781,477.7130432128906,546.8901977539062,633.6181030273438,-1.0,0.0,0.7937946915626526,1656860400.7999992,20,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
6,384.76312255859375,542.4057006835938,524.5038452148438,708.4290161132812,-1.0,0.0,0.8161593079566956,1656860400.8399992,21,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
7,329.86346435546875,598.323974609375,441.6381530761719,762.6892700195312,-1.0,0.0,0.8068313598632812,1656860400.8799992,22,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
8,299.7418212890625,643.5852661132812,382.1007995605469,810.7021484375,-1.0,0.0,0.7772973775863647,1656860400.9199991,23,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
9,260.0732421875,689.8783569335938,350.3368835449219,850.0946044921875,-1.0,0.0,0.7933219075202942,1656860400.959999,24,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
10,230.10459899902344,721.7523193359375,320.46875,885.2529296875,-1.0,0.0,0.8235108852386475,1656860400.999999,25,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
11,210.0167999267578,749.2468872070312,299.3647766113281,912.8390502929688,4.0,0.0,0.8240715861320496,1656860401.039999,26,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
12,178.74362182617188,790.7281494140625,271.1002197265625,952.2672119140625,-1.0,0.0,0.8362535238265991,1656860401.079999,27,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
13,161.6553955078125,815.7996826171875,249.0186767578125,973.3870239257812,5.0,0.0,0.8132792115211487,1656860401.119999,28,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
14,132.17955017089844,849.5215454101562,216.36073303222656,1002.7559204101562,-1.0,0.0,0.8140718340873718,1656860401.159999,29,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
15,116.01215362548828,865.64501953125,202.57777404785156,1018.3090209960938,6.0,0.0,0.8238835334777832,1656860401.1999989,30,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
16,105.9634780883789,880.682861328125,189.8638458251953,1030.126708984375,6.0,0.0,0.822990357875824,1656860401.2399988,31,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
17,94.53370666503906,891.930419921875,174.91920471191406,1038.7733154296875,6.0,0.0,0.8170629739761353,1656860401.2799988,32,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
18,85.59227752685547,899.15087890625,163.0289764404297,1043.015380859375,6.0,0.0,0.8157225847244263,1656860401.3199987,33,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
19,75.56127166748047,899.659423828125,154.19725036621094,1049.15185546875,6.0,0.0,0.8179463148117065,1656860401.3599987,34,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
20,59.181949615478516,894.6024780273438,145.85366821289062,1052.924072265625,6.0,0.0,0.8342681527137756,1656860401.3999987,35,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
21,44.232486724853516,884.1559448242188,139.70114135742188,1046.279296875,6.0,0.0,0.8414463996887207,1656860401.4399986,36,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
22,39.56069564819336,875.530029296875,138.15354919433594,1043.5753173828125,6.0,0.0,0.8408392667770386,1656860401.4799986,37,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
23,42.591068267822266,872.1272583007812,140.9915313720703,1038.4693603515625,6.0,0.0,0.8585396409034729,1656860401.5199986,38,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
24,47.464664459228516,863.7859497070312,144.322021484375,1033.6541748046875,6.0,0.0,0.8332579731941223,1656860401.5599985,39,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
25,65.16654205322266,860.0330810546875,151.5652618408203,1023.5379638671875,6.0,0.0,0.8222452998161316,1656860401.5999985,40,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
26,118.85299682617188,852.076171875,171.10452270507812,981.2238159179688,-1.0,0.0,0.7418519258499146,1656860401.6399984,41,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
27,169.27557373046875,826.8446655273438,217.0389404296875,982.1282348632812,5.0,0.0,0.7590770125389099,1656860403.2799969,82,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
28,160.5771942138672,808.6944580078125,206.68115234375,969.8663940429688,5.0,0.0,0.7978397011756897,1656860403.3199968,83,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
29,158.82431030273438,797.7649536132812,205.24024963378906,962.5556030273438,5.0,0.0,0.8106801509857178,1656860403.3599968,84,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
30,158.02035522460938,794.6116333007812,205.49417114257812,965.016357421875,5.0,0.0,0.806312620639801,1656860403.3999968,85,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
