,x,y,w,h,track_id,class,conf,time,frame,ledge,filename
0,709.073486328125,41.87544250488281,778.629150390625,189.470703125,1.0,0.0,0.7180025577545166,1656860400.5999994,15,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
1,648.3261108398438,170.50831604003906,717.5963134765625,336.8833312988281,-1.0,0.0,0.7439000010490417,1656860400.6399994,16,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
2,609.3063354492188,262.30267333984375,669.525634765625,428.1841735839844,-1.0,0.0,0.6687573194503784,1656860400.6799994,17,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
3,551.7023315429688,365.91766357421875,616.21142578125,528.8092041015625,-1.0,0.0,0.8358659744262695,1656860400.7199993,18,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
4,530.7599487304688,395.35595703125,611.15185546875,565.0064697265625,4.0,0.0,0.8346667885780334,1656860400.7599993,19,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
5,457.7568664550781,477.7130432128906,546.8901977539062,633.6181030273438,-1.0,0.0,0.7937946915626526,1656860400.7999992,20,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
6,384.76312255859375,542.4057006835938,524.5038452148438,708.4290161132812,-1.0,0.0,0.8161593079566956,1656860400.8399992,21,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
7,329.86346435546875,598.323974609375,441.6381530761719,762.6892700195312,-1.0,0.0,0.8068313598632812,1656860400.8799992,22,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
8,299.7418212890625,643.5852661132812,382.1007995605469,810.7021484375,-1.0,0.0,0.7772973775863647,1656860400.9199991,23,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
9,260.0732421875,689.8783569335938,350.3368835449219,850.0946044921875,-1.0,0.0,0.7933219075202942,1656860400.959999,24,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
10,230.10459899902344,721.7523193359375,320.46875,885.2529296875,-1.0,0.0,0.8235108852386475,1656860400.999999,25,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
11,210.0167999267578,749.2468872070312,299.3647766113281,912.8390502929688,10.0,0.0,0.8240715861320496,1656860401.039999,26,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
12,178.74362182617188,790.7281494140625,271.1002197265625,952.2672119140625,-1.0,0.0,0.8362535238265991,1656860401.079999,27,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
13,161.6553955078125,815.7996826171875,249.0186767578125,973.3870239257812,11.0,0.0,0.8132792115211487,1656860401.119999,28,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
14,132.17955017089844,849.5215454101562,216.36073303222656,1002.7559204101562,-1.0,0.0,0.8140718340873718,1656860401.159999,29,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
15,116.01215362548828,865.64501953125,202.57777404785156,1018.3090209960938,12.0,0.0,0.8238835334777832,1656860401.1999989,30,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
16,102.85807037353516,885.1024780273438,185.93263244628906,1033.597412109375,-1.0,0.0,0.822990357875824,1656860401.2399988,31,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
17,94.7216567993164,891.4923706054688,175.149169921875,1038.4261474609375,13.0,0.0,0.8170629739761353,1656860401.2799988,32,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
18,85.10092163085938,898.6914672851562,162.288330078125,1042.2269287109375,-1.0,0.0,0.8157225847244263,1656860401.3199987,33,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
19,76.85879516601562,897.2714233398438,156.17929077148438,1047.8267822265625,14.0,0.0,0.8179463148117065,1656860401.3599987,34,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
20,55.94750213623047,889.738037109375,146.45361328125,1051.9625244140625,-1.0,0.0,0.8342681527137756,1656860401.3999987,35,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
21,44.65125274658203,879.7451782226562,142.3753662109375,1042.7156982421875,15.0,0.0,0.8414463996887207,1656860401.4399986,36,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
22,42.95417785644531,870.636474609375,142.14129638671875,1040.60498046875,-1.0,0.0,0.8408392667770386,1656860401.4799986,37,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
23,49.60734939575195,870.4290161132812,146.73785400390625,1034.545654296875,-1.0,0.0,0.8585396409034729,1656860401.5199986,38,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
24,53.465145111083984,861.9556884765625,148.94198608398438,1031.272216796875,17.0,0.0,0.8332579731941223,1656860401.5599985,39,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
25,77.78204345703125,858.852294921875,158.06411743164062,1017.8815307617188,-1.0,0.0,0.8222452998161316,1656860401.5999985,40,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
26,118.85299682617188,852.076171875,171.10452270507812,981.2238159179688,-1.0,0.0,0.7418519258499146,1656860401.6399984,41,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
27,169.2973175048828,826.8756713867188,216.95346069335938,982.1528930664062,-1.0,0.0,0.7590770125389099,1656860403.2799969,82,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
28,161.08982849121094,805.8658447265625,207.65171813964844,967.9248657226562,20.0,0.0,0.7978397011756897,1656860403.3199968,83,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
29,158.4755859375,792.7160034179688,205.91690063476562,959.1502685546875,-1.0,0.0,0.8106801509857178,1656860403.3599968,84,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
30,158.17649841308594,793.853759765625,206.5694580078125,965.483642578125,21.0,0.0,0.806312620639801,1656860403.3999968,85,BONDEN6,Auklab1_BONDEN6_2022-07-03_15.00.00_2095_2101.mp4
